goods_id,goods_sn,is_on_sale,shipin_type,kuanshi_type,zhushizhong,shoucun,zhuchengse,zhuchengsezhong,yuanshichengbenjia,goods_name,company,warehouse,wh_name,p_name,yanse
1311072484 ,KLDW010931,3,珍珠饰品,耳钉,0,,18K白金,0,287,18K白金耳钉,58,79,深圳珍珠库,总公司,
1105017981 ,KLDW010933,3,珍珠饰品,耳钉,0,,18K白金,0,201,18K白金海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1103040593 ,kldw010946,3,珍珠饰品,耳钉,0,,18K白金,0,199,18K白金淡水珍珠耳钉,58,79,深圳珍珠库,总公司,
1310005737 ,KLDW010946,3,珍珠饰品,耳钉,0,,S925,0,199,S925淡水白珠耳钉,58,79,深圳珍珠库,总公司,
1310005738 ,KLDW010946,3,珍珠饰品,耳钉,0,,S925,0,166,S925淡水白珠耳钉,58,79,深圳珍珠库,总公司,
1202000189 ,KLDW011090,3,珍珠饰品,耳钉,0,,18K白金,3.3,1948,18K白金珍珠耳钉,58,79,深圳珍珠库,总公司,
1402120029 ,KLDW011426,3,珍珠饰品,耳钉,0,,S925,0,372,S925淡水白珠耳钉,58,79,深圳珍珠库,总公司,
1103038074 ,KLDW012971,3,珍珠饰品,耳钉,0,,S925,1.2,650,S925海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1103038210 ,KLDW012971,3,珍珠饰品,耳钉,0,,S925,1.2,650,S925珍珠耳钉,58,79,深圳珍珠库,总公司,
1103038317 ,KLDW014595,3,珍珠饰品,耳钉,0,,18K白金,2.1,4010,18K白金海水海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1104000302 ,KLDW014600,3,珍珠饰品,耳钉,0,,18K黄金,1.2,1920.12,18K黄金海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1103038445 ,KLDW014638,3,珍珠饰品,耳钉,0.09,,18K白金,1.3,1001,18K白金海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1103038467 ,KLDW014641,3,珍珠饰品,耳钉,0,,18K白金,2.3,2431,18K白金海水海水珍珠耳钉,58,79,深圳珍珠库,总公司,
1112046346 ,KLDW016833,3,钻石饰品,耳钉,0.169,,18K白金,3.555,2088.06,18K白金钻石耳钉,58,656,展会活动库,总公司,
1206018783 ,KLDW017757,3,珍珠饰品,耳钉,0,,S925,0,134,S925珍珠耳钉,58,79,深圳珍珠库,总公司,
1206018831 ,KLDW017757,3,珍珠饰品,耳钉,0,,S925,0,134,S925珍珠耳钉,58,79,深圳珍珠库,总公司,
1206018892 ,KLDW017757,3,珍珠饰品,耳钉,0,,S925,0,134,S925珍珠耳钉,58,79,深圳珍珠库,总公司,
1206018913 ,KLDW017757,3,珍珠饰品,耳钉,0,,S925,0,134,S925珍珠耳钉,58,79,深圳珍珠库,总公司,
1312093241 ,KLDW019817,3,钻石饰品,耳饰,0.201,,18K白金,1.08,1158.71,18K白金钻石耳饰,58,96,总公司后库,总公司,
1312092732 ,KLDW019884,3,钻石饰品,耳饰,0.368,,18K白金,1.886,3435.61,18K白金钻石耳饰,58,656,展会活动库,总公司,I-J
1311074912 ,KLDW023765,3,珍珠饰品,耳饰,0,,S925,0,7.7,S925淡水白珠耳饰,58,79,深圳珍珠库,总公司,
150311501070 ,KLDW026644,3,钻石饰品,耳饰,0.111,,18K白金,1.338,768.68,18K白金钻石耳饰,58,656,展会活动库,总公司,
